Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positive,,,,29-08-2024 13:39:02,29-08-2024 13:42:01,2m - 58.577s,PASSED
,,,,,,,
Test Cases/Authentication/Sign in/Positive Test Cases/Sign in (Remember Me Selected),,"Valid Email with Remember Me Selected
   - Test Case: Enter a valid email and password, select the ""Remember Me"" checkbox.
   - Expected Result: User successfully logs in, and the email is pre-filled during the next login attempt.
",,29-08-2024 13:39:03,29-08-2024 13:40:11,1m - 8.151s,PASSED
"packageName = ""com.senarios.dataplain.dev""",,,,29-08-2024 13:39:04,29-08-2024 13:39:04,0.169s,PASSED
"clearCacheCommand = ""adb shell pm clear "" + ""com.senarios.dataplain.dev""",,,,29-08-2024 13:39:04,29-08-2024 13:39:04,0.043s,PASSED
try,,,,29-08-2024 13:39:05,29-08-2024 13:39:06,1.108s,PASSED
"startExistingApplication(""com.senarios.dataplain.dev"")",,,,29-08-2024 13:39:06,29-08-2024 13:39:30,24.754s,PASSED
"tap(findTestObject(""Sign in/android.widget.Button - ALLOW""), 0)",,,,29-08-2024 13:39:30,29-08-2024 13:39:41,10.208s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button""), 0)",,,,29-08-2024 13:39:41,29-08-2024 13:39:42,1.190s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText""), ""tester24@yopmail.com"", 0)",,,,29-08-2024 13:39:42,29-08-2024 13:39:45,3.015s,PASSED
pressBack(),,,,29-08-2024 13:39:45,29-08-2024 13:39:46,0.766s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText (1)""), ""Pakistan@1"", 0)",,,,29-08-2024 13:39:46,29-08-2024 13:39:48,2.646s,PASSED
pressBack(),,,,29-08-2024 13:39:48,29-08-2024 13:39:49,0.785s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.CheckBox""), 0)",,,,29-08-2024 13:39:49,29-08-2024 13:39:51,1.935s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button (1)""), 0)",,,,29-08-2024 13:39:51,29-08-2024 13:39:53,1.730s,PASSED
"delay(8, STOP_ON_FAILURE)",,,,29-08-2024 13:39:53,29-08-2024 13:40:01,8.135s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.view.View""), 0)",,,,29-08-2024 13:40:01,29-08-2024 13:40:02,1.265s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.widget.ImageView""), 0)",,,,29-08-2024 13:40:02,29-08-2024 13:40:03,0.636s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,29-08-2024 13:40:03,29-08-2024 13:40:03,0.513s,PASSED
"tap(findTestObject(""Object Repository/Sign in/Remember Me/android.view.View""), 0)",,,,29-08-2024 13:40:03,29-08-2024 13:40:05,1.601s,PASSED
"tap(findTestObject(""Object Repository/Sign in/Remember Me/android.widget.ImageView""), 0)",,,,29-08-2024 13:40:05,29-08-2024 13:40:06,1.373s,PASSED
"verifyElementText(findTestObject(""Object Repository/Sign in/Remember Me/android.widget.EditText - tester24yopmail.com""), ""tester24@yopmail.com"")",,,,29-08-2024 13:40:06,29-08-2024 13:40:07,0.737s,PASSED
closeApplication(),,,,29-08-2024 13:40:07,29-08-2024 13:40:09,1.947s,PASSED
,,,,,,,
Test Cases/Authentication/Sign in/Positive Test Cases/Sign in (Uncheck Remember Me),,"Uncheck Remember Me
   - Test Case: Enter a valid email and password, uncheck the ""Remember Me"" checkbox.
   - Expected Result: User successfully logs in, and the email is not pre-filled during the next login attempt.",,29-08-2024 13:40:11,29-08-2024 13:41:07,55.890s,PASSED
"packageName = ""com.senarios.dataplain.dev""",,,,29-08-2024 13:40:11,29-08-2024 13:40:11,0.004s,PASSED
"clearCacheCommand = ""adb shell pm clear "" + ""com.senarios.dataplain.dev""",,,,29-08-2024 13:40:11,29-08-2024 13:40:11,0.003s,PASSED
try,,,,29-08-2024 13:40:11,29-08-2024 13:40:12,0.262s,PASSED
"startExistingApplication(""com.senarios.dataplain.dev"")",,,,29-08-2024 13:40:12,29-08-2024 13:40:30,18.097s,PASSED
"tap(findTestObject(""Sign in/android.widget.Button - ALLOW""), 0)",,,,29-08-2024 13:40:30,29-08-2024 13:40:39,8.939s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button""), 0)",,,,29-08-2024 13:40:39,29-08-2024 13:40:40,1.053s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText""), ""tester24@yopmail.com"", 0)",,,,29-08-2024 13:40:40,29-08-2024 13:40:43,3.175s,PASSED
pressBack(),,,,29-08-2024 13:40:43,29-08-2024 13:40:44,0.782s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText (1)""), ""Pakistan@1"", 0)",,,,29-08-2024 13:40:44,29-08-2024 13:40:46,2.618s,PASSED
pressBack(),,,,29-08-2024 13:40:46,29-08-2024 13:40:47,0.760s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button (1)""), 0)",,,,29-08-2024 13:40:47,29-08-2024 13:40:49,1.876s,PASSED
"delay(8, STOP_ON_FAILURE)",,,,29-08-2024 13:40:49,29-08-2024 13:40:57,8.023s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.view.View""), 0)",,,,29-08-2024 13:40:57,29-08-2024 13:40:58,0.909s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.widget.ImageView""), 0)",,,,29-08-2024 13:40:58,29-08-2024 13:40:59,0.607s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,29-08-2024 13:40:59,29-08-2024 13:40:59,0.509s,PASSED
"tap(findTestObject(""Object Repository/Sign in/Remember Me/android.view.View""), 0)",,,,29-08-2024 13:40:59,29-08-2024 13:41:01,1.512s,PASSED
"tap(findTestObject(""Object Repository/Sign in/Remember Me/android.widget.ImageView""), 0)",,,,29-08-2024 13:41:01,29-08-2024 13:41:02,1.503s,PASSED
"verifyElementText(findTestObject(""Object Repository/Sign in/Remember Me/android.widget.EditText - tester24yopmail.com""), """")",,,,29-08-2024 13:41:02,29-08-2024 13:41:03,0.652s,PASSED
closeApplication(),,,,29-08-2024 13:41:03,29-08-2024 13:41:05,2.097s,PASSED
,,,,,,,
Test Cases/Authentication/Sign in/Positive Test Cases/Sign in (Valid Cred),,"1. Valid Email and Password
   - Test Case: Enter a valid email address and correct password.
   - Expected Result: User successfully logs in and is redirected to the home page.",,29-08-2024 13:41:07,29-08-2024 13:42:01,54.161s,PASSED
"packageName = ""com.senarios.dataplain.dev""",,,,29-08-2024 13:41:07,29-08-2024 13:41:07,0.020s,PASSED
"clearCacheCommand = ""adb shell pm clear "" + ""com.senarios.dataplain.dev""",,,,29-08-2024 13:41:07,29-08-2024 13:41:07,0.006s,PASSED
try,,,,29-08-2024 13:41:07,29-08-2024 13:41:08,0.514s,PASSED
"startExistingApplication(""com.senarios.dataplain.dev"")",,,,29-08-2024 13:41:08,29-08-2024 13:41:26,18.322s,PASSED
"tap(findTestObject(""Sign in/android.widget.Button - ALLOW""), 0)",,,,29-08-2024 13:41:26,29-08-2024 13:41:35,9.325s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button""), 0)",,,,29-08-2024 13:41:35,29-08-2024 13:41:37,1.502s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText""), ""tester24@yopmail.com"", 0)",,,,29-08-2024 13:41:37,29-08-2024 13:41:39,1.900s,PASSED
pressBack(),,,,29-08-2024 13:41:39,29-08-2024 13:41:40,0.761s,PASSED
"setText(findTestObject(""Object Repository/Sign in/android.widget.EditText (1)""), ""Pakistan@1"", 0)",,,,29-08-2024 13:41:40,29-08-2024 13:41:43,3.094s,PASSED
pressBack(),,,,29-08-2024 13:41:43,29-08-2024 13:41:43,0.756s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.CheckBox""), 0)",,,,29-08-2024 13:41:43,29-08-2024 13:41:45,2.116s,PASSED
"tap(findTestObject(""Object Repository/Sign in/android.widget.Button (1)""), 0)",,,,29-08-2024 13:41:45,29-08-2024 13:41:47,1.267s,PASSED
"delay(8, STOP_ON_FAILURE)",,,,29-08-2024 13:41:47,29-08-2024 13:41:55,8.010s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.view.View""), 0)",,,,29-08-2024 13:41:55,29-08-2024 13:41:56,0.885s,PASSED
"verifyElementExist(findTestObject(""Sign in/n1/android.widget.ImageView""), 0)",,,,29-08-2024 13:41:56,29-08-2024 13:41:56,0.768s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,29-08-2024 13:41:56,29-08-2024 13:41:57,0.513s,PASSED
closeApplication(),,,,29-08-2024 13:41:57,29-08-2024 13:41:59,2.031s,PASSED
